trial,timestamp,x,y,duration
1,76,1146.4512151836534,443.0259828662633,0
1,154,1203.9935555369889,432.56343913575614,78
1,199,1286.0173603059568,481.38263651085987,45
1,234,1319.6967604406696,451.2117462601079,35
1,241,1327.0239952764407,402.1016256195881,7
1,275,1330.672887952998,431.55140912961417,34
1,309,1263.965169053615,447.3819489001708,34
1,344,1225.6531977069783,466.18569991646524,35
1,375,1193.8014099608795,475.4377830365887,31
1,405,1174.774352716993,446.7933533898833,30
1,441,1238.2445239699427,379.22452586854973,36
1,493,1170.4935483076029,279.8314861949758,52
1,565,1192.7680471275364,292.73495517979535,72
1,584,1231.2147810872664,340.8848597850402,19
1,615,1155.3723618734666,487.6395375917418,31
1,644,1215.707971666747,422.9160926935142,29
1,674,1317.8305898583837,344.8182066678862,30
1,709,1329.3487121821126,264.94142503587227,35
1,744,1325.6630876477677,219.4987799698803,35
1,778,1285.5115922704672,202.05341436960066,34
1,816,1289.7519204126272,243.3066457144208,38
1,909,1364.0845080446559,337.1248380622262,93
1,955,1337.1480596160588,389.1021948489414,46
1,991,1365.917730087153,431.4752751919942,36
1,1003,1346.7447331200901,407.67302619027953,12
1,1064,1285.6227014055214,422.30604659987074,61
1,1104,1244.2163262044655,362.7999136681127,40
1,1137,1217.940570177095,319.0875457812198,33
1,1167,1203.4909056640988,289.937862489881,30
1,1201,1288.347778803082,321.3722397276949,34
1,1240,1365.8106527548252,395.25192089648783,39
1,1285,1315.2548358632127,397.3453424354811,45
1,1326,1157.6998353650806,336.12026781292974,41
1,1350,1051.5247036704293,305.79229475680796,24
1,1372,1037.6409899030805,335.02106394285505,22
1,1437,1120.7717382306491,348.93711689643123,65
1,1457,1230.7331896665494,338.86947876169455,20
1,1474,1322.5316454946924,368.8906016262054,17
1,1548,1370.3245651523685,374.3912664120127,74
1,1591,1380.0925839429274,334.59341703609067,43
1,1628,1330.5918036830356,303.7977797896573,37
1,1651,1273.965387715111,294.8997715980554,23
1,1668,1238.9647418000814,290.8826322345562,17
1,1707,1259.5142521225905,289.7702462481868,39
1,1784,1249.2991564573717,294.3475857597208,77
1,1820,1230.976081652259,248.2534556316668,36
1,1870,1201.753978515552,274.6695172367358,50
1,1943,1152.8706052900422,326.30296995207107,73
1,1950,1102.0550414976078,327.40664280087685,7
1,1996,1077.8604184460826,378.12893508449247,46
1,2029,1022.1057327059054,392.90664989120336,33
1,2050,1039.7858969039553,361.03734883414063,21
1,2099,1020.0224890108609,377.51436759291335,49
1,2131,1087.0292547845474,511.79894761970684,32
1,2153,1173.1583581943344,555.2431914787015,22
1,2221,1130.2878174200448,491.24360534904275,68
