trial,timestamp,x,y,duration,eventType
1,164,1246.7941982700283,184.4375765190087,0,raw
1,248,1273.4363608562242,229.75990108656723,84,raw
1,348,1182.1372430668073,203.9836127026229,100,raw
1,446,1165.3331066683625,217.12809272240943,98,raw
1,537,1199.9258710730896,277.704589747395,91,raw
1,640,1295.2343820455662,239.63123444001096,103,raw
1,742,1296.687091511118,234.1701430143703,102,raw
1,827,1325.578081551186,234.205796229089,85,raw
1,939,1337.6632322807868,260.31543326584335,112,raw
1,1021,1377.3995096718468,238.97674280590275,82,raw
1,1130,1341.681197714181,213.53698838227342,109,raw
1,1238,1329.9115701634253,228.87153431622872,108,raw
1,1328,1424.6928081094031,286.7891106383232,90,raw
1,1440,1348.6750893735136,279.5093266084762,112,raw
1,1537,1377.3189544209006,245.4657233694599,97,raw
1,1638,1467.4743398182625,225.63643010660928,101,raw
1,1726,1318.526043743144,304.53159354482034,88,raw
1,1827,1232.4916441504665,369.13458089028944,101,raw
1,1939,1153.03541945453,522.0298200469055,112,raw
1,2030,1087.4187875887287,539.7480214994216,91,raw
1,2133,1110.569793056166,495.13408375053024,103,raw
1,2234,1190.1693003021535,396.182115967081,101,raw
1,2338,1233.5885461668584,312.37292612454684,104,raw
1,2440,1404.871087380494,304.3061648847767,102,raw
1,2528,1402.4916608528522,329.810935144146,88,raw
1,2622,1484.992053744641,293.3631644006348,94,raw
1,2741,1359.5056658753708,263.3123422506065,119,raw
1,2826,1266.1058000163207,239.72697364036887,85,raw
1,2920,1319.0900211386954,262.2455307420979,94,raw
1,3023,1315.516839809377,222.88660499266481,103,raw
1,3134,1388.678482504563,189.57918645425028,111,raw
1,3232,1359.2928735569926,159.85530847092866,98,raw
1,3343,1064.4017410284214,368.2255127351753,111,raw
1,3439,939.9176760632628,506.06373392430856,96,raw
1,3544,920.2495618559261,526.3350626692597,105,raw
1,3637,1059.320689077234,559.3862691696147,93,raw
1,3769,1050.9731912161046,585.6967187015846,132,raw
1,3845,995.7074494853698,568.9459888763295,76,raw
1,3970,982.623440326798,540.6533986532511,125,raw
1,4056,976.785034546466,512.7015253335676,86,raw
1,4177,1002.0451592332126,499.5558174549148,121,raw
1,4238,957.7165028673405,483.17953035368896,61,raw
1,4340,919.3265338619527,529.3748305074159,102,raw
1,4429,1028.0775726703682,520.7963179797254,89,raw
1,4529,1048.8875675143045,547.0094113960575,100,raw
1,4631,1058.040724280606,518.4734358152922,102,raw
1,4750,1014.125514054057,526.0647747115019,119,raw
1,4834,981.107719879835,542.9527904285476,84,raw
1,4944,972.6712927436027,523.9557013212643,110,raw
1,5038,1001.6588427287876,522.4192916991782,94,raw
1,5145,1038.788202666487,546.6801092410382,107,raw
1,5247,1062.7975523501866,554.4715934369517,102,raw
1,5341,1071.2793215503814,556.1137030643042,94,raw
1,5441,1061.0872244190668,528.6619368486326,100,raw
1,5569,1096.4666035074124,470.78379600847,128,raw
1,5656,1081.1169773995728,489.9629467724247,87,raw
1,5735,1300.2497571788497,316.2710106027411,79,raw
1,5850,1331.812111601307,382.72015102336474,115,raw
1,5946,1242.2831527026929,539.6519073850752,96,raw
1,6038,1104.495211029827,676.7580694274426,92,raw
1,6128,1153.3963542308873,642.7515000121248,90,raw
1,6226,1030.5988552885221,620.4452406368225,98,raw
1,6327,995.7577222133204,564.3523029837581,101,raw
1,6429,1016.1538250975888,527.5938950067222,102,raw
1,6527,1075.1030527527228,553.4138996625453,98,raw
1,6632,1146.1634640160905,485.1922777247254,105,raw
1,6733,1049.7721118665097,442.14781957548286,101,raw
1,6833,1088.4480639031392,506.7014562884925,100,raw
1,6944,1401.0380610787415,320.752729643805,111,raw
1,7038,1359.8657286029884,388.90106815514116,94,raw
1,7142,1268.492147964361,535.9821998471688,104,raw
1,7251,1169.346918440174,597.978309442825,109,raw
1,7343,1043.808800827109,603.7525633154573,92,raw
1,7454,924.7607210853752,622.1479311808829,111,raw
1,7556,913.4823195531624,617.772469537033,102,raw
1,7641,994.5893961038604,610.4013890201501,85,raw
1,7735,1083.1100048683502,568.8626435594039,94,raw
1,7843,1059.9481326394891,541.0880493904489,108,raw
1,7929,1108.639658084847,589.0191427990255,86,raw
1,8026,981.2177702515839,582.55281216949,97,raw
1,8143,947.835117038377,581.6819779413439,117,raw
1,8224,913.9736058684881,562.5326502026387,81,raw
1,8334,925.6105469660943,528.1351431366829,110,raw
1,8445,956.3510928058563,503.35564796428315,111,raw
1,8532,978.4900107322833,475.51541012169986,87,raw
1,8627,986.8108566503527,455.3151470788257,95,raw
1,8741,974.7826533653043,457.8778904934027,114,raw
1,8832,982.9637509781828,452.4374394895894,91,raw
