trial,timestamp,x,y,duration
1,66,1032.3029938457685,465.95346861297526,0
1,149,933.0237523462288,355.61503021837416,83
1,178,883.1170743568924,322.13977495168615,29
1,197,852.8744040337032,319.2912163337606,19
1,212,829.5797040146479,318.7423102553963,15
1,258,768.084805510188,364.17620621811744,46
1,276,757.0008366284048,391.47943714947974,18
1,311,705.3293741595174,443.02269749648764,35
1,349,681.8265236123066,468.45815754408534,38
1,419,687.9830230525971,489.37403813078674,70
1,447,637.1451499583118,502.96851750984564,28
1,463,624.0618300044973,540.7336631323302,16
1,476,670.8103593850717,515.6731634329041,13
1,504,669.8365271750939,447.2862641549601,28
1,533,667.042356147831,410.3509083318398,29
1,554,681.5571216441,388.40325726834465,21
1,589,722.0865261590146,371.2315889326597,35
1,645,786.8680800039092,396.3230217260101,56
1,680,874.0419473807011,410.0251964507962,35
1,716,881.1262242458181,364.6863651555703,36
1,775,839.2235769718035,352.0567182658736,59
1,813,777.8169242626641,349.53251450094723,38
1,854,722.180195539198,346.1621219510675,41
1,902,798.5367011591861,234.09428565622284,48
1,933,815.8240994256349,310.2042080448785,31
1,976,983.008852167321,285.6306653256626,43
1,1008,1136.2896952203732,286.3702442690585,32
1,1027,1098.5613582890064,279.30400082418646,19
1,1066,1132.4965163977897,220.07206618069173,39
1,1135,1224.585125772587,203.41313541695556,69
1,1177,1176.7134106069743,214.15464148196753,42
1,1218,1185.8422609059764,174.5352076709114,41
1,1259,1214.6934316880001,144.1407889557104,41
1,1284,1234.129742138845,186.3117408520174,25
1,1303,1224.7060197958624,210.79974794431965,19
1,1389,1148.4364295741248,274.82629893553855,86
1,1430,1094.2404956828027,334.8727484106958,41
1,1440,1030.9732700995478,399.7319471948682,10
1,1505,1054.378451312961,408.0531734167317,65
1,1546,1067.2895229626067,442.0768182692747,41
1,1589,1054.422599554432,405.31456761791895,43
1,1638,1011.2394468629682,402.91002400526156,49
1,1665,958.1781098846238,369.38034515912847,27
1,1704,946.0097871794862,358.18484219584053,39
1,1729,999.532266880456,362.0833965513107,25
1,1770,1019.7692301807086,372.04035545911273,41
1,1821,1073.7000799900345,383.21009590847393,51
1,1847,1049.257147124199,377.7389410280525,26
1,1891,1005.9549381913511,353.66558770616643,44
1,1978,1047.005924024472,337.7652488527982,87
1,2025,1017.154260657361,323.12487809206266,47
1,2045,1084.5172685143655,299.46385518741147,20
1,2074,1168.467119702573,314.66220568727135,29
1,2109,1168.646328222392,289.9052926329394,35
1,2139,1135.111021010312,280.4335558178549,30
1,2227,1179.4442696373128,374.1095690227718,88
