trial,timestamp,x,y,duration,image_type,image_id
1,117,-78.47961200589455,545.4405993189548,0,,
1,196,115.80659031324622,604.2744911133382,79,,
1,296,275.1312379434759,644.555072435057,100,low,004
1,325,351.71941220075496,627.6598795264206,29,low,004
1,429,407.2688438203949,587.9835344325886,104,low,004
1,500,423.3552307470945,556.6111031888445,71,low,004
1,621,436.0087162340572,492.64859140820977,121,high,012
1,659,412.73067489110986,470.81435226806866,38,high,012
1,726,404.00024750225487,449.17064896972346,67,high,012
1,792,376.39628122440564,463.5277119706927,66,high,012
1,863,368.56609590639,523.5014238679505,71,low,004
1,930,412.1346273159881,557.3428542044918,67,low,004
1,1009,465.70122198462474,577.5263103460709,79,low,004
1,1088,497.5743839081269,552.6497834440713,79,low,004
1,1159,478.3146779465004,538.0586732447127,71,low,004
1,1242,482.8005738162503,593.419304378198,83,low,004
1,1338,350.53916471979056,610.8029809981415,96,low,004
1,1400,269.4520326654639,665.7702290159066,62,low,004
1,1471,316.5688088785665,707.1532467254328,71,low,004
1,1550,349.27069718276283,638.7989048760603,79,low,004
1,1604,355.8381105386794,582.279881099866,54,low,004
1,1683,447.44118022046536,542.1557728316166,79,low,004
1,1742,454.98389225110674,492.4843678454083,59,high,012
1,1779,428.42174084302445,478.0409250818103,37,high,012
1,1848,460.91453665490167,470.1708957250014,69,high,012
1,1883,560.7641472284726,452.1076646959085,35,,
1,1937,584.9313038526317,503.0491400243019,54,,
1,2010,587.2322916173077,548.6177813384006,73,high,016
1,2110,617.6612208318724,512.2283226257582,100,high,016
1,2170,595.6811814447076,543.2567401943692,60,high,016
1,2251,568.9023728460496,529.1810023581254,81,high,016
1,2318,602.2786109880598,529.5134450300294,67,high,016
1,2372,630.4429663845799,532.0745513257716,54,high,016
1,2400,632.5972727204197,528.1282220783335,28,high,016
1,2509,644.6631546708894,520.6190896174453,109,high,016
1,2562,687.9136677293933,507.10323790140785,53,high,016
1,2654,640.2009217948308,488.81741489184,92,low,001
1,2688,595.9942531568777,481.7355945916199,34,low,001
1,2750,521.3657355284081,478.0000815024128,62,high,012
1,2846,499.1252646690327,476.3363617693117,96,high,012
1,2888,533.3522801113751,471.42396767091304,42,high,012
1,2937,584.6725367435687,466.54843615363956,49,low,001
1,3029,621.8156140411205,464.22498070307967,92,low,001
1,3130,579.6996763899681,496.07492673866153,101,,
1,3162,557.4137799072874,502.94542459758685,32,,
1,3237,489.65597554351325,534.8977633829529,75,low,004
1,3283,434.36301527894204,529.1903168358732,46,low,004
1,3371,442.6068778307924,538.9150557931108,88,low,004
1,3425,477.99118805523295,578.5277698916904,54,low,004
1,3504,520.7128513686647,580.6508644674691,79,low,004
1,3580,551.1205514038846,579.2675049613987,76,low,004
1,3658,539.4631948045635,580.1402274297121,78,low,004
1,3741,531.5571766252192,578.6657902180846,83,low,004
1,3808,544.312453902742,547.6519220433933,67,low,004
1,3892,574.3045484480795,597.0253652659941,84,high,016
1,3976,626.5677200273661,529.1508089129476,84,high,016
1,4025,608.1638211973866,533.1695052492455,49,high,016
1,4125,585.957844762004,558.2091193383508,100,high,016
