trial,timestamp,x,y,duration,image_type,image_id
1,124,219.47521806623854,45.76548885076106,0,,
1,202,233.8829148883915,188.71188179839584,78,,
1,309,226.19081383303416,305.3140987561051,107,,
1,358,250.49856081250724,479.3146288184353,49,,
1,445,318.83780885539113,536.4580705783607,87,,
1,514,395.8270842059762,576.4167090277073,69,,
1,605,459.4680658152213,569.1643932523275,91,high,010
1,675,486.1602097850804,543.669994855711,70,high,010
1,832,453.3152408833854,518.0249410377162,157,,
1,905,397.11298120849085,493.1661422193445,73,,
1,949,360.78975840717777,399.00244936059005,44,,
1,1071,327.6797654274897,335.46963863138427,122,,
1,1111,315.3844411409541,309.83308036323365,40,,
1,1203,361.2170454430553,314.40916742182566,92,,
1,1266,452.105298599079,292.96087270152435,63,,
1,1344,509.0651466593091,290.97999934647623,78,high,013
1,1431,578.3786276766324,150.66492114754982,87,,
1,1498,613.7221284353849,165.5262052504313,67,,
1,1573,627.9181843416906,66.95061775190406,75,,
1,1658,584.6261246325229,132.71729238518915,85,,
1,1721,534.5382148266976,261.3080648478347,63,high,013
1,1836,457.65127431868365,373.67359659016495,115,high,013
1,1926,433.5233168803596,455.60403671765954,90,,
1,1977,411.92297846383775,520.5870349244739,51,,
1,2052,393.6166515837664,490.37831879782806,75,,
1,2138,392.14259392195635,512.7439410549008,86,,
1,2247,418.2736335374796,516.763875790026,109,,
1,2285,417.8216573363706,493.6288376181806,38,,
1,2361,469.4801270962807,465.1339411015219,76,high,010
1,2437,486.0652837599258,477.113856335585,76,high,010
1,2524,498.3386548050441,482.0097959367027,87,high,010
1,2588,503.7401542514821,471.266315084342,64,high,010
1,2664,505.2790379579518,486.3069438581919,76,high,010
1,2749,497.6968009106164,478.79412846249056,85,high,010
1,2811,470.3062752285415,481.87915046700573,62,high,010
1,2913,495.35250240084,452.3733250292168,102,high,010
1,2960,483.3578974097132,453.2090604171187,47,high,010
1,3047,515.6081213994511,425.921708545647,87,,
1,3100,499.9913162216201,459.6154786550117,53,high,010
1,3176,492.6997733328188,477.31532839785183,76,high,010
1,3260,511.01615539611794,452.5294575645811,84,high,010
1,3376,474.94677475124706,475.1665621965276,116,high,010
1,3415,484.3412212244401,470.0253021463653,39,high,010
1,3488,497.81997478769193,438.82921477052463,73,high,010
1,3574,500.9561747916341,442.72193509976574,86,high,010
1,3639,488.0155725262298,463.29978238629207,65,high,010
1,3715,488.6401423435663,467.0242444025443,76,high,010
1,3789,454.5378252630748,513.5788105499485,74,,
1,3878,374.7277787794406,717.8051093019651,89,,
1,3941,301.73226379512784,798.7832912017162,63,,
1,4016,282.3154432676851,923.8545026076351,75,,
1,4103,336.04648954837273,898.6068623302223,87,,
1,4156,376.46660543866045,974.3884339904944,53,,
1,4230,483.74618330368725,692.3238358067126,74,,
1,4317,754.0651240032878,410.09931152208605,87,low,011
1,4432,773.6592094748861,457.62368728181116,115,low,002
1,4468,728.470890554398,480.6129357171859,36,,
1,4544,550.9872996017616,416.06448545151767,76,high,013
1,4629,324.6879677099421,273.6156520410564,85,,
1,4696,226.23633481586154,181.49200329928206,67,,
1,4771,15.744748733125562,66.44324422307767,75,,
1,4856,-94.202960498504,-95.6409843092386,85,,
1,4919,-95.9062025814783,-180.75442115656546,63,,
1,5045,-22.90097013250245,-156.09242984009393,126,,
1,5132,89.80325298953805,61.464725135138025,87,,
1,5197,183.04958022832034,242.06117819645715,65,,
1,5313,351.2078565603043,547.1361764762275,116,,
1,5349,438.84497894772625,749.5406197766122,36,,
1,5423,496.7177184345489,880.6516045367707,74,,
1,5497,544.8997925190379,978.2584981337246,74,,
1,5579,570.8569666136729,996.4288270403285,82,,
1,5644,579.5681156043124,998.117308537252,65,,
1,5723,555.920388764235,982.7205623545183,79,,
1,5801,534.8847285852138,945.9413257016992,78,,
1,5888,583.5506662499322,934.0501540671713,87,,
1,5953,704.9390301512448,926.1175244431292,65,,
1,6023,867.125020752255,734.1056215280927,70,,
1,6108,918.4564531181395,516.7776544045871,85,low,002
1,6161,872.2736141455952,437.7184454254521,53,low,002
1,6238,742.5453073495931,118.78378056305677,77,,
1,6324,523.6709646511791,-94.3585982267628,86,,
1,6439,360.587429041267,-183.08995370016822,115,,
1,6478,224.28874341387365,-186.91916664757287,39,,
1,6556,109.98756303593427,-253.65909893064338,78,,
1,6672,16.016995718476487,-297.39420171178136,116,,
