trial,timestamp,x,y,duration,image_type,image_id
1,56,658.7717291112392,334.10639216963045,0,,
1,94,866.471560093042,558.3055989608561,38,,
1,131,955.4484779747991,736.4351138656364,37,high,009
1,173,1142.7868146989604,866.8701369904356,42,high,009
1,206,973.4677341659091,878.1201463304504,33,high,009
1,240,916.4992186759042,845.6380174165379,34,high,007
1,288,844.276707947869,675.1613639495222,48,high,007
1,380,894.8074597474127,533.7944127634332,92,low,016
1,400,814.3210249117301,387.5272559563423,20,low,016
1,411,725.0789745889753,157.50216732361514,11,,
1,435,803.1517386735362,148.82236198971898,24,,
1,452,1073.575138515225,190.08477250608559,17,,
1,489,1450.5744606213811,282.2022521368219,37,,
1,513,1751.1191370386348,400.21406686485113,24,,
1,555,1864.5705653062023,470.52567060225397,42,,
1,579,1950.4330662773025,551.5629275494371,24,,
1,616,1961.0085095573172,558.4429774811857,37,,
1,645,1958.1210867228326,487.1285250333827,29,,
1,679,1862.4349990717174,483.7828595986306,34,,
1,709,1736.8364783983336,492.00185103848963,30,,
1,743,1867.853532149367,450.3525765738844,34,,
1,774,1802.052702632417,488.13618463127654,31,,
1,817,1766.5933345375106,468.9252183321391,43,,
1,844,1867.4246825409025,454.68896321195666,27,,
1,872,1921.5177136059888,469.83167900843495,28,,
1,907,1847.6911933360363,624.4304701081148,35,,
1,941,1850.7762512440866,642.2701076604117,34,,
1,973,1809.317769794198,639.6535901623898,32,,
1,1008,1709.7733159529923,557.7724974617582,35,,
1,1043,1960.4197496756246,490.589350219078,35,,
1,1075,1796.0811802280427,492.6156930649638,32,,
1,1110,1808.0540097594105,509.61629052775055,35,,
1,1140,1813.655322696433,517.2537790630789,30,,
1,1175,1744.3490850962648,511.0141153752366,35,,
1,1207,1565.2124717205859,478.1751448130386,32,,
1,1239,1306.8019947736352,452.5117376454744,32,low,011
1,1274,944.6631328096141,542.4751443263342,35,,
1,1306,827.1850161594666,611.3246066902027,32,high,007
1,1341,610.8117723043484,643.026285749454,35,high,007
1,1373,507.57075572347276,688.1661902132397,32,,
1,1403,539.9402999081719,636.7531666635624,30,,
1,1440,637.4409904043096,663.5158110929735,37,high,007
1,1473,728.9786418636578,708.413064335843,33,high,007
1,1507,646.0305680357885,648.5405055529425,34,high,007
1,1531,615.7212780371665,684.0605151529841,24,high,007
1,1575,410.55133063349217,709.2805971826027,44,,
1,1608,79.18693973562745,638.0482112101867,33,,
1,1634,-4.176393264741488,614.5796461044437,26,,
1,1670,66.09081458247469,624.3448106089064,36,,
1,1697,81.18805691159166,488.9941969943701,27,,
1,1735,230.04958451875586,509.07272554411077,38,,
1,1767,387.2948520266769,585.6283405745622,32,,
1,1804,425.0384318107099,511.73806931361014,37,,
1,1832,538.7422023611758,544.6993992478621,28,,
1,1868,436.10225036736955,543.0749145257071,36,,
1,1895,488.59965097093834,596.1779690641041,27,,
1,1927,430.45697257576654,595.6665778677025,32,,
1,1961,467.8931334901235,595.9754052564217,34,,
1,2000,556.9390920620465,539.5856327505962,39,,
1,2028,580.0830661754516,543.8458420534479,28,,
1,2066,561.8369480013126,592.6096121765851,38,,
1,2098,379.09639254158196,561.1039753079554,32,,
1,2130,381.9683152284788,572.2409022153304,32,,
1,2165,265.7309316111354,550.9102043127945,35,,
1,2199,194.15313366496417,543.0485052493898,34,,
1,2246,363.53390670511465,558.9670940928518,47,,
1,2264,409.23617375940194,530.428347281608,18,,
1,2300,478.41839182927157,428.62586123032617,36,,
1,2336,295.67901096924925,338.78159081209554,36,,
1,2368,142.58721561848571,292.74558101209857,32,,
1,2402,132.41040441009352,253.9025956534319,34,,
1,2429,121.5129859339383,272.1661535944755,27,,
1,2471,125.61417605727603,279.7164683069245,42,,
1,2500,229.2437630259841,356.7487310601757,29,,
1,2531,333.89209971140474,352.2347034552034,31,,
1,2563,430.80348328526725,354.25399788435595,32,,
1,2595,558.0233786826951,434.57156542313635,32,,
1,2631,535.3620268495592,450.9851902621379,36,,
1,2665,513.017365588566,479.85716176747525,34,,
1,2699,548.4938929329643,496.6887418165532,34,,
1,2734,661.1117060672309,482.4139462516766,35,low,016
1,2768,830.1386916145483,428.22721637850805,34,low,016
1,2792,820.4317013703175,386.7788647137226,24,low,016
1,2822,1017.8907839850206,320.5594090403579,30,low,011
1,2860,1198.0353544082764,306.63941807428756,38,low,011
1,2887,1072.3911004725028,326.329409026092,27,low,011
1,2922,1022.1158491189782,311.58677351608026,35,low,011
1,2957,836.7931873247915,230.18368408178017,35,low,016
1,2987,732.1463896877781,261.97198474408737,30,low,016
1,3019,734.8959471206667,311.50146754590764,32,low,016
1,3053,757.7441478995192,322.1282033398557,34,low,016
1,3086,941.0826175831361,439.4249480082637,33,low,016
1,3130,1115.4498995298104,584.2661563824495,44,high,009
1,3159,1243.1117246169765,548.8749447448251,29,,
1,3197,1242.7339950529915,587.7531006500711,38,high,009
1,3227,1128.3399652378505,601.6886707755785,30,high,009
1,3262,1011.2786176327725,506.18729681543664,35,low,011
1,3294,988.7497340658394,508.49810495185295,32,low,011
1,3323,881.9928003213645,492.435539874911,29,low,016
1,3357,879.3000003614181,384.0258091346319,34,low,016
1,3392,867.0031718305714,407.68739872803485,35,low,016
1,3428,767.6494594762235,481.5175139620279,36,low,016
1,3463,750.8123950742952,508.4089715456102,35,low,016
1,3492,954.1355772554685,533.0312265194558,29,low,011
1,3523,983.0134959575349,481.2993251067701,31,low,011
1,3557,924.7505007804099,398.1983720258449,34,low,016
1,3591,863.3263888117011,341.61667760123817,34,low,016
1,3623,820.2397230811409,330.3266242519972,32,low,016
1,3658,745.7239521649819,292.20938720860374,35,low,016
1,3689,691.3635852628026,263.56883870422575,31,low,016
1,3720,587.303316817049,225.00990098479332,31,low,016
1,3752,658.5753570350914,176.22637536064047,32,,
1,3788,888.6643476630584,180.34566991717656,36,,
1,3824,1032.5049575107946,232.24029478316453,36,low,011
1,3859,1000.6979586325439,315.2488024424197,35,low,011
1,3890,1005.4454830756796,360.45553064665035,31,low,011
1,3913,1127.9261340464057,454.8398931369464,23,low,011
1,3948,1212.6467371040603,588.8962610679544,35,high,009
1,3994,1279.6011405767094,605.4570549545531,46,high,009
1,4026,1328.0675954492372,598.9695865402992,32,,
1,4051,1307.912295469741,614.6474199981036,25,high,009
1,4082,1191.3840687764134,624.4994523280819,31,high,009
1,4112,1100.4140970552048,651.0968754506493,30,high,009
1,4141,932.345955392532,618.8276389616973,29,high,007
1,4181,822.1384390584935,591.8275687050563,40,high,007
1,4215,856.8948057782884,569.8587606886514,34,high,007
1,4252,860.857658765699,617.6560941700174,37,high,007
1,4281,854.1249294580582,604.3594234292837,29,high,007
1,4311,887.0725834681765,534.9026289400688,30,low,016
