trial,timestamp,x,y,duration,image_type,image_id
1,200,543.5031304675095,547.974251640908,0,,
1,373,598.1554808598659,568.8420755249231,173,high,016
1,617,639.0452021405106,559.3594318861398,244,high,016
1,751,662.2969296797914,551.9005316039403,134,high,016
1,842,667.3599892266025,518.7724402327055,91,high,016
1,977,650.9513428531448,519.9892727236123,135,high,016
1,1198,641.5402955745989,498.5035252104614,221,high,016
1,1277,631.5729503175762,507.57170477318874,79,high,016
1,1449,623.2225494886359,495.2438578010984,172,high,016
1,1599,612.5462184830122,484.805792472812,150,high,016
1,1792,605.0009241016999,479.02794974961563,193,high,016
1,1957,604.3776081100929,479.717903761329,165,high,016
1,2090,610.2296626791056,482.80871776965915,133,high,016
1,2345,605.763187613589,497.2951324157633,255,high,016
1,2493,613.166872601379,482.26810672528313,148,high,016
1,2624,655.33248980622,355.9563270423675,131,high,012
1,2714,683.16642287187,333.44176839666954,90,high,012
1,2849,705.9165917982642,364.52579964718905,135,high,012
1,3079,690.8992208185334,396.9508521626801,230,high,012
1,3156,676.7997363798456,422.70883352460055,77,high,016
1,3387,642.3757289279624,470.4684709155183,231,high,016
1,3482,629.7342715810627,469.91165970569426,95,high,016
1,3627,628.7874960017907,457.1927730050434,145,high,016
1,3867,623.1367557373773,456.1949020592101,240,high,016
1,3944,626.8989430417919,445.1040596244776,77,high,016
1,4192,630.5241551484917,437.0733340716907,248,high,016
1,4325,627.1288059425654,441.371326217882,133,high,016
1,4402,649.1121803074864,448.53424100770496,77,high,016
1,4575,652.9661687915574,455.00888969284836,173,high,016
1,4710,645.5989182926191,489.1027023032977,135,high,016
1,5009,639.1946127747535,545.466216377087,299,high,016
1,5154,631.1747263936085,604.9157376326255,145,high,016
1,5301,629.1634801666315,619.304156280923,147,high,016
1,5434,624.9044227396224,645.8173284615762,133,high,016
1,5524,626.9091855595408,627.7855492419085,90,high,016
1,5656,678.1850393080391,444.6744957268163,132,high,016
1,5899,703.2735076661476,406.2777460722427,243,high,012
1,6049,688.9186195456492,477.4735949574016,150,high,016
1,6184,676.7037848550915,530.7525195548951,135,high,016
1,6261,656.299115496021,561.5649744829238,77,high,016
1,6506,655.9333319886016,612.2278934653394,245,high,016
1,6641,641.4135411114993,694.4519999112464,135,,
1,6718,641.3670052242709,754.4246683361696,77,,
1,6890,643.4295364142918,787.284921993561,172,,
1,7043,664.7076207236347,810.0728167840227,153,,
1,7179,665.2582900913399,765.8610491303781,136,,
1,7354,662.4957317251148,707.5552482906693,175,,
1,7508,624.0306041394215,666.3136186182587,154,high,016
1,7660,626.5965067333377,639.816918744932,152,high,016
1,7797,644.1844755928574,667.1407680822138,137,high,016
1,7951,685.3570932543381,585.5365157033738,154,high,016
1,8180,696.9369910047907,634.1324300353126,229,high,016
1,8281,702.836308640726,672.1596853376119,101,high,016
