trial,timestamp,x,y,duration,image_type,image_id
1,262,352.9343412030274,292.78017870639604,0,,
1,327,360.97601283851213,370.56217627841795,65,,
1,403,361.87880417874686,408.6938835519381,76,,
1,421,337.83149235856234,423.4782713880388,18,,
1,475,330.5744453433988,400.419819688552,54,,
1,494,361.95662757012667,378.03327001155037,19,,
1,551,479.74838296879295,373.14851316901803,57,high,008
1,595,550.3506634342602,362.25779683482443,44,high,008
1,625,529.4181642296178,358.9449541347034,30,high,008
1,669,458.23153966884786,347.7065975559589,44,,
1,706,445.88374193469645,344.81328397651833,37,,
1,736,420.1638520661235,391.6073948174372,30,,
1,791,425.9644829723041,409.94853890682936,55,,
1,828,430.9135973943147,432.2188696722485,37,,
1,883,494.98531654287615,395.6942727082906,55,high,008
1,926,503.8105309930817,374.7290588679027,43,high,008
1,949,532.7069419166536,356.03136778207534,23,high,008
1,992,556.2373590678087,348.9906107943107,43,high,008
1,1048,463.8133896907295,346.74768010427795,56,high,008
1,1092,420.35586563440927,335.47053104151723,44,,
1,1114,409.3161119301835,326.7918317939187,22,,
1,1164,409.9144028419201,316.53867961508666,50,,
1,1187,378.83234651543205,333.9589524438631,23,,
1,1213,399.7724792171431,329.5611766092338,26,,
1,1250,377.3767888119469,345.1673509208728,37,,
1,1287,391.31355097251827,340.2819602482094,37,,
1,1324,410.05399716205966,320.77004668065996,37,,
1,1361,433.50950478278247,315.07441840041776,37,,
1,1397,457.534528005813,309.5435925153238,36,,
1,1434,468.5011649341204,312.01321346798113,37,high,008
1,1470,498.2204916586214,315.59746814451654,36,high,008
1,1508,457.7565562328036,326.96683715890197,38,,
1,1563,429.7993436816479,342.16756147416334,55,,
1,1581,427.4577654441901,347.6391332569161,18,,
1,1637,362.0968173922877,315.16877395916947,56,,
1,1662,334.4641251854331,291.6507904806522,25,,
1,1692,303.5267721726438,280.69191811753194,30,,
1,1710,295.3450851106435,267.62286790044084,18,,
1,1766,290.2223503337851,269.97736065822755,56,,
1,1784,287.8479503542011,272.16111115109345,18,,
1,1832,285.69411139048873,273.84399731998906,48,,
1,1877,299.21146087548243,272.2983479584917,45,,
1,1921,299.68580289542416,267.8125692859477,44,,
1,1951,300.943899272076,263.8192235692716,30,,
