trial,timestamp,x,y,duration,image_type,image_id
1,179,722.1584216930675,517.1416162056858,0,,
1,296,768.8807713420741,525.1131366869755,117,low,001
1,455,834.2613306082837,551.2984427852016,159,low,001
1,653,806.8486650419732,576.2884876665948,198,low,001
1,787,778.3846446717005,622.2098527322428,134,low,001
1,901,762.1135922140509,527.8807874753904,114,low,001
1,1030,787.6791651511551,462.9090033349022,129,low,001
1,1164,773.8141260942552,441.24565021346757,134,low,001
1,1293,760.2847053197193,473.05773843709613,129,low,001
1,1394,696.9504650283814,470.32947538812493,101,low,001
1,1486,694.7072493126537,476.1341569757933,92,low,001
1,1545,696.9335106219429,474.5056879345846,59,low,001
1,1714,720.3856508471457,486.6411973561935,169,low,001
1,1767,745.733954565191,519.4901218848225,53,low,001
1,1881,725.4239267491704,497.4666391812096,114,low,001
1,2034,715.1000085742749,528.2986071596632,153,low,001
1,2153,767.1259168699605,503.4209249787471,119,low,001
1,2261,758.8945781702871,515.0997983098273,108,low,001
1,2364,706.8891427241992,523.3156604020666,103,low,001
1,2466,663.4856233138231,518.3461975637487,102,low,004
1,2568,681.8603311589222,515.6272118293039,102,low,004
1,2678,706.7043502512425,520.5991368998637,110,low,001
1,2784,720.6572944571675,521.1209785918505,106,low,001
1,2868,771.7998590053868,524.3982847503246,84,low,001
1,2922,760.6051191595741,551.5216433424533,54,low,001
1,3045,746.3690897644673,497.150870793079,123,low,001
1,3145,796.9627249457925,520.7959972046618,100,low,001
1,3241,786.056507097172,488.4513637369708,96,low,001
1,3342,746.0572217801433,538.9612663402992,101,low,001
1,3437,736.2912479498518,555.1564094380352,95,low,001
1,3540,711.4555098201441,501.1980201580174,103,low,001
1,3637,709.3394178657826,501.94874411030105,97,low,001
1,3689,714.3575802342954,499.2733268921764,52,low,001
1,3814,658.9251767617347,483.75181671821997,125,low,004
1,3919,690.5980890092682,482.4483463111056,105,low,001
1,4002,711.1493918628771,472.03706046727916,83,low,001
1,4105,754.6101414889406,486.28046548042107,103,low,001
1,4209,740.305587848355,468.99603869976477,104,low,001
1,4337,713.0862245153522,451.7362519950595,128,low,001
1,4441,722.1210541199838,465.4651370767558,104,low,001
1,4542,713.8068531667346,453.81158247290904,101,low,001
1,4629,698.1089829034497,456.01235038377445,87,low,001
1,4808,682.6439774543895,461.9927537985216,179,low,001
1,4916,685.4647780841752,489.88891660764676,108,low,001
1,5022,656.4319852090672,519.9401527556166,106,low,004
1,5074,652.493479372082,510.4776025770352,52,low,004
1,5263,662.8590682521842,540.2920585620946,189,low,004
1,5348,700.2381413745361,523.4280623262488,85,low,001
1,5399,732.6369800211738,521.1920138491246,51,low,001
1,5522,703.6382227743985,525.7698783248374,123,low,001
1,5622,721.7951616383115,513.6588556963861,100,low,001
